TIC,RAJ2000,DEJ2000,Period,ecc,base_flux,T0,tdur_pri,tdur_sec,phi_sec,sector1,sector2,nsector,npri,nsec,subtype,oce,meb,etv,oeb,sgl,Gaia3,Gmag,BP-RP,TOI,TOI_Disp,comments
419502814,191.14372,-55.21279,2.114815,0.047,372.44626,3041.8655555,0.1057088,0.1057088,0.5,64,64,1,12,12,detached,,,,,,6073570810148687744,15.117,3.188,,,gaia3
420135872,291.91752,76.642,9.6171662,0.178,948.1272,2398.0378442,0.1698808,0.1201057,0.55,40,55,11,26,24,detached,,,,,,2289872435318491904,14.232,2.3271,,,ztfv
420337546,198.85239,-55.40386,5.8131136,0.0,327.74875,4074.5316667,0.109401,0.1042751,0.4693,100,100,1,5,4,detached,,,,,,6066622755666312064,15.526,3.1934,,,?
420636075,217.20711,-34.81058,3.1707375,0.026,536.00616,2334.9012638,0.0792206,0.0791966,0.5,38,38,1,9,8,detached,,,,,,6119974323997964544,14.851,2.6645,,,?
423954063,328.37362,71.75208,6.4977118,0.021,510.42426,1989.3055543,0.1623447,0.1623447,0.499,25,25,1,3,4,detached,,,,,,2224738637798804736,14.861,2.4864,,,gaia3 P!match ztfv
425864141,352.0856,-45.91703,0.2183859,0.05,431.50958,1354.4730243,0.0308798,0.0308798,0.5,2,69,3,304,305,detached,,,,,,6528432139113615616,15.278,3.3101,,,gaia3
425934411,4.6058,-62.8479,1.706706,0.315,214.00192,1326.3416049,0.1206641,0.1206641,0.5,1,69,6,78,83,detached,,,,,,4901321849613857152,15.778,2.1773,142,PC,good
427240420,322.03917,63.35039,1.3884169,0.028,3494.5852,1739.423728,0.0693789,0.0693999,0.499,16,83,10,170,167,detached,,,,,,2217223819424989440,12.738,2.5806,,,ztfv
428685938,180.23172,-23.63472,,,,,,,,,,,,,,,,,,1,3492659369225333248,15.592,2.603,4856,EB,?
433440773,182.95986,-58.92557,5.4422014,0.0,1161.8514,4075.7860785,0.2214511,0.2405108,0.4997,100,100,1,4,4,detached,,,,,,6071075846487846272,13.645,2.4912,,,?
433977629,342.3508,65.80187,6.5596524,0.155,1142.853,1766.7810961,0.1158718,0.1158718,0.597,17,78,6,22,18,detached,,,,,,2211796526951025536,13.912,2.2875,,,good ztfv
434260570,64.24375,14.77179,9.4409926,0.054,988.70166,2177.1968726,0.1179055,0.1179055,0.5,32,71,5,10,11,detached,,,,,,3311529431437442560,14.133,2.2937,2455,PC,good
435249044,352.98402,16.82163,0.97427,0.035,58457.719,2826.2016191,0.3894727,0.389355,0.5,56,83,2,52,51,detached,,,,,,2820517843762782336,9.62,2.3431,,,?
435985984,193.28173,-65.54943,0.5505786,0.0,671.11938,4074.4243419,0.2752893,0.2752893,0.5,100,100,1,44,44,contact,,,,,,5861499069027473280,14.547,2.9867,,,?
436158814,83.94824,9.7639,7.2147369,0.161,1180.1379,1469.6734614,0.1801506,0.127405,0.4662,6,6,1,3,3,detached,,,,,,3337938669945775616,14.018,2.3739,,,WB ztfv
436693263,193.78661,-65.53488,2.8791905,0.0,2256.3391,4074.2194143,0.0882643,0.1193027,0.1897,100,100,1,9,9,detached,,,,,,5861580639046056832,13.048,2.6085,,,?
436948769,106.02171,20.35481,23.7864515,0.318,215.0202,2502.9979387,0.1484859,0.2970613,0.539,44,45,2,3,1,detached,,,,,,3366740720633253248,15.843,2.9259,,,ztfv
437387483,237.44337,-20.69848,0.3650396,0.014,4474.2495,3775.4406584,0.0519143,0.0513707,0.4987,91,91,1,47,49,detached,1,,,,,6241617792205140224,12.376,2.1003,,,gaia3
441014460,323.61732,-18.67497,0.5374973,0.023,1473.2136,3803.5924526,0.0380011,0.0380011,0.5,92,92,1,42,43,detached,,,,,,6831512038272661632,13.944,3.1962,,,ztfv
442844877,198.37041,-60.82344,0.6870876,0.0,423.73615,4074.4008071,0.3435438,0.3435438,0.5,100,100,1,37,38,contact,1,,,,,5869620199316965632,15.173,3.1296,,,?
446175401,201.72196,45.5463,0.364139,0.0,6678.3252,1738.9556899,0.2058326,0.2058326,0.5,16,76,5,261,256,contact,,,,,,1550299304833675392,11.963,2.2561,,,vespa ztfv
451513640,171.74292,-54.85166,3.1836644,0.0,237905.98,4046.9999574,0.1856691,0.2629452,0.6443,99,99,1,6,6,detached,,,,,,5346401373417049856,7.946,1.8368,,,?
452377286,88.35928,-51.46766,11.8334669,0.047,171.16522,2143.8519501,0.1491552,0.1366638,0.5057,31,31,1,2,2,detached,,,,,,4792530534164523520,15.942,2.3392,,,gaia3
453269374,24.32725,57.68134,1.5470786,0.264,1049.7822,1790.8774599,0.2187569,0.3093223,0.5,18,18,1,14,14,detached,,,,,,508914664936538624,13.972,2.3401,,,?
454291832,166.98225,-77.45708,1.7350058,0.017,5164.4473,3832.3297621,0.3468964,0.3468964,0.5,93,93,1,13,12,detached,,,,,,5201155402038028672,12.604,2.5158,,,?
454886660,177.94153,-72.00534,0.2464021,0.0,581.6366,4074.2242912,0.1232011,0.1232011,0.5,100,100,1,96,93,contact,,,,,,5227248535258363776,14.45,2.2502,,,gaia3
455947620,340.00075,60.82317,3.8562063,0.066,369.06451,1765.2113508,0.0558644,0.055768,0.4998,17,85,5,30,29,detached,,,,,,2201014337974289024,14.994,2.826,6022,PC,good
456941299,67.68755,22.63005,13.8845916,0.101,1904.5543,3210.3195121,0.1001826,0.1186661,0.5354,70,71,2,4,3,detached,,,1,,,145858674218113280,13.541,2.7076,,,good
458055227,250.3998,-40.40662,0.3002678,0.0,274.87823,3830.7596594,0.1697289,0.1697289,0.5,93,93,1,75,78,contact,,,,,,5969094145822778496,15.339,2.9506,,,?
460077052,156.4734,-63.55344,4.4113646,0.143,33.2718,3748.4949829,0.1763706,0.1814075,0.5,90,90,1,7,5,detached,,,,,,5252072342416610816,17.015,2.7069,,,?
460737307,158.64878,-61.46465,1.1747601,0.0,915.19891,3747.7492799,0.664043,0.664043,0.5,90,90,1,23,23,contact,,,,,,5253887537370165120,13.839,2.4228,,,?
463903016,154.89557,-58.89763,2.8814453,0.365,55.31005,3015.2098725,0.2881445,0.2881445,0.5,63,64,2,19,18,detached,,,,,,5255504399239636992,17.076,2.4917,,,?
466045629,286.85157,-27.79221,1.1169006,0.079,320.69849,3804.1725563,0.0578869,0.0578485,0.5004,92,92,1,17,20,detached,,,1,,,6762687695625668480,15.274,2.3913,,,ztfv
466276020,305.75381,-62.5153,,0.0,,,,,,,,,,,,,,,,1,6430644529878497024,15.147,2.1966,,,good
466318137,165.73208,-60.19687,2.2441,0.0,4484.5044,3014.8040114,0.1121711,0.1586579,0.5,63,63,1,12,12,detached,,,,,,5338100606072217856,12.885,5.1761,3153,PC,?
466662129,166.57802,-61.23845,12.378621,0.242,4155.2915,2316.2497447,1.750337,3.4996168,0.476,37,90,2,4,4,detached,,,,,,5337278278787846784,12.59,2.4793,,,dup
466662141,166.5774,-61.23715,12.38916,0.193,1476.5909,3752.1908748,2.4770837,3.5025963,0.474,90,90,1,2,2,detached,,,,,,5337278278787851136,13.72,2.6178,,,? dup
467522800,168.74763,-64.34712,1.0573267,0.0,232.00797,4074.5760552,0.0683844,0.0689571,0.5,100,100,1,23,23,detached,,,,,,5240531632175135616,15.301,2.9586,,,?
468162834,170.47251,-65.46285,2.6314263,0.0,4052.3989,1573.4947997,1.4874359,1.4874359,0.5,10,65,6,54,53,contact,,,,,,5237097238888164992,12.586,2.323,,,?
470275219,64.46323,51.72687,0.2708429,0.035,972.28723,1816.3487148,0.0473739,0.0459852,0.4997,19,59,2,172,171,detached,,1,,,,271780724429515520,14.129,2.3421,,,gaia3 WB
471012590,211.03701,50.34407,1.6279838,0.03,616.72772,2675.5729769,0.0499751,0.050371,0.4997,49,50,2,21,24,detached,,,,,,1511457269875245312,13.926,2.8954,,,good ztfv
929195256,176.61183,-58.57951,8.6298289,0.0,12.44432,4049.8542777,0.2559041,0.3709859,0.4904,99,99,1,2,2,detached,,,,,,5341667043838920448,18.299,3.1024,,,?
950715112,181.73234,70.13026,4.1790377,0.033,20307.553,2423.0560404,0.0724499,0.0737379,0.518,41,75,5,27,26,detached,1,,,,,1683677624423753472,10.892,2.845,,,? WB
